name,latitude,longitude,reference_code
PA11 - Carlos Valdovinos - Departamental,-33.4953488,-70.6638932,PA11
PA9 - Departamental - Américo Vespucio,-33.5071477,-70.6694242,PA9
PA30 - Américo Vespucio - Departamental,-33.5072881,-70.6693191,PA30
P6 Condell - Costanera Norte,-33.3993533,-70.7755638,P6
P5 Costanera Norte - Condell,-33.3996244,-70.7756381,P5
P4 Costanera Norte - Ruta 68,-33.4312884,-70.7848507,P4
P5.4 Las Torres - Quilín,-33.4960669,-70.5845023,P5.4
P5.3 Quilín - Las Torres,-33.4955584,-70.5844562,P5.3
P5.1 Grecia - Quilín,-33.4809446,-70.5790434,P5.1
P5.2 Quilín - Grecia,-33.4810039,-70.5787734,P5.2
P2.2 Centenario - Puente Lo Saldes,-33.3944093,-70.6035262,P2.2
P15 El Salto - Recoleta,-33.3886636,-70.6329673,P15
P12 Pedro Fontova - Guanaco,-33.3733937,-70.6649728,P12
P13 Recoleta - Pedro Fontova,-33.3733644,-70.6646148,P13
P11 Pedro Fontova - Ruta 5 Norte,-33.3658211,-70.6951137,P11
P10 Ruta 5 Norte - Pedro Fontova,-33.3659479,-70.6969041,P10
P9 Lo Echevers - Ruta 5 Norte,-33.3688771,-70.7043428,P9
P8 Ruta 5 Norte - Condell,-33.3730357,-70.7113029,P8
P7 Condell - Lo Echevers,-33.38132,-70.7539367,P7
P01 Gran Vía - Puente La Dehesa,-33.3757292,-70.5430603,P01
Pórtico,-34.5940249,-70.9730922,
P3 - Enlace Buenaventura,-33.3398283,-70.7120052,P3 - Enlace Buenaventura
Peaje Lampa,-33.2355983,-70.7590362,
Peaje Lampa,-33.2356286,-70.7588357,
Peaje Acceso Vial AMB,-33.4165959,-70.7927267,
Peaje Panquehue,-32.7602093,-70.8283516,
Peaje Panquehue,-32.7602786,-70.8282874,
Peaje Puentes Negros,-37.1112131,-72.2713516,
P09 Ruta 68 - Américo Vespucio Poniente,-33.418078,-70.7910033,P09
P09 Américo Vespucio Poniente - Ruta 68,-33.4178581,-70.7908552,P09
P6.2 Américo Vespucio Poniente - Petersen,-33.4130639,-70.7667427,P6.2
P6.2 Petersen - Américo Vespucio Poniente,-33.4129722,-70.7664565,P6.2
P4 - Enlace Buenaventura,-33.3398151,-70.7122122,P4 - Enlace Buenaventura
P2 - Paso Superior Lo Marcoleta,-33.357992,-70.7040905,P2 - Paso Superior Lo Marcoleta
P1 - Paso Superior Lo Marcoleta,-33.3580071,-70.7038343,P1 - Paso Superior Lo Marcoleta
Peaje Zapata Rutas del Pacífico,-33.3715517,-71.3000625,
Peaje Zapata Rutas del Pacífico,-33.3706472,-71.2994676,
P8 - Enlace Lo Pinto,-33.2799197,-70.7390951,P8 - Enlace Lo Pinto
P7 - Enlace Lo Pinto,-33.2799505,-70.7388797,P7 - Enlace Lo Pinto
P6 - Paso Superior La Montaña,-33.3170797,-70.7224257,P6 - Paso Superior La Montaña
P5 - Paso Superior La Montaña,-33.3171089,-70.7221978,P5 - Paso Superior La Montaña
Pórtico,-20.21606,-69.9034424,
Pórtico,-20.2161726,-69.9034143,
Peaje Penco,-36.7579304,-73.0113164,
P203,-33.3961477,-70.6041337,P203
P212,-33.3916344,-70.5970934,P212
P201,-33.3964481,-70.6198001,P201
P110,-33.3952496,-70.6101099,P110
Pórtico,-36.9322259,-71.562298,
P101,-33.4301386,-70.5747034,P101
P210,-33.4259696,-70.5756851,P210
Pórtico,-33.4204151,-70.5814201,
P108,-33.3966044,-70.5887555,P108
Pórtico,-33.3927556,-70.5924714,
P205,-33.4002342,-70.5875491,P205
P104,-33.4094018,-70.5869709,P104
P209,-33.4244301,-70.5784158,P209
Pórtico,-33.3999575,-70.6200213,
Pórtico,-41.7234459,-73.3740032,
Pomaire,-33.6693012,-71.1507237,T8
Pórtico,-33.3896504,-70.6000072,
P211,-33.4325433,-70.5744918,P211
P103,-33.4124572,-70.5820353,P103
Pórtico,-33.401491,-70.5804876,
Pórtico,-33.4050356,-70.5863334,
Pórtico,-34.7962248,-71.0479353,
Pórtico,-34.5951184,-70.9732407,
P8.3 Costanera Norte - Las Tranqueras,-33.4099885,-70.6022244,P8.3
P8.2 Costanera Norte - Las Tranqueras,-33.4084907,-70.6019447,P8.2
SB Salida Bellavista,-33.4221473,-70.6198252,SB
PA37 - Colón - Calera de Tango,-33.596894,-70.7157922,PA37
P2 Ruta 68 - Los Mares,-33.4563722,-70.7671428,P2
P16 Santa Elena - Ruta 68,-33.4512259,-70.7729987,P16
P4.1 Gnmo. de Alderete - Santa Julia,-33.5297901,-70.6048452,P4.1
P00 Puente San Francsico - Puente Padre Arteaga,-33.3712087,-70.5229107,P00
P2.1 Gran Vía - Centenario,-33.3846042,-70.5926964,P2.1 Gran Vía - Centenario
P2.1 Puente Centenario - Gran Vía,-33.3846827,-70.5926045,P2.1 Puente Centenario - Gran Vía
P03 Torres Tajamar - Puente Lo Saldes,-33.4241131,-70.6218108,P03
P03 Puente Lo Saldes - Vivaceta,-33.4239919,-70.6219547,P03
P6.1 Petersen - Carrascal,-33.411826,-70.7395828,P6.1
P6.1 Carrascal - Petersen,-33.4117097,-70.7395811,P6.1
Pórtico,-33.3099829,-70.7018568,
Pórtico,-33.310002,-70.7017482,
Pórtico,-33.4555165,-70.8948554,
Pórtico,-33.455434,-70.8948976,
Pórtico,-33.3690452,-71.303257,
Pórtico,-33.3689679,-71.3032001,
P8.3 Costanera Norte - Las Tranqueras,-33.4024008,-70.5816916,P8.3
Pórtico,-32.9273809,-71.2864869,
Pórtico,-33.0635215,-71.4316713,
Pórtico,-33.063407,-71.4316552,
PA1 - La Capilla - Los Guindos,-33.6954354,-70.7236723,PA1
Pórtico,-32.6296637,-71.2307943,
Pórtico,-32.6296866,-71.2306715,
Pórtico,-33.409307,-70.5869372,
Pórtico,-33.3656212,-70.8016625,
Pórtico,-33.365656,-70.8016893,
Pórtico,-34.7960831,-71.048305,
Pórtico,-35.2096021,-71.4115132,
Pórtico,-35.2098527,-71.4110924,
Pórtico,-36.009234,-71.7323551,
Pórtico,-36.0091521,-71.7325039,
Pórtico,-36.0093252,-71.7322211,
Pórtico,-36.0090542,-71.7326618,
Pórtico,-32.7533645,-71.2532996,
Pórtico,-32.7533012,-71.2529591,
Pórtico,-32.7530126,-71.252912,
Peaje Las Maicas,-37.806601,-72.3308643,
Peaje Las Maicas,-37.8065128,-72.3309399,
Pórtico,-36.9094897,-72.3421115,
Pórtico,-36.909469,-72.3422529,
Plaza de Peaje Cerritos Bayos,-22.6957453,-69.1885342,
Plaza de Peaje Cerritos Bayos,-22.6958138,-69.1883644,
Peaje Troncal Renaico,-37.674673,-72.5952143,
Peaje Troncal Renaico,-37.674665,-72.5950682,
Peaje Troncal Coihue,-37.5574752,-72.579961,
Peaje Troncal Coihue,-37.5573609,-72.5800084,
Peaje Lateral Acceso Ruta 1 Sector Aeropuerto,-23.4515111,-70.4312083,
Talagante,-33.6429011,-70.8756342,T6
Talagante,-33.6429391,-70.8754904,T6
Rinconada,-33.4956473,-70.7771624,T2
Rinconada,-33.4955303,-70.777166,T2
Padre Hurtado,-33.5529192,-70.8137842,T3
Malloco,-33.5878075,-70.8450495,T4
Malloco,-33.6012541,-70.8471047,T4
El Paico,-33.6848212,-70.943167,T7
El Paico,-33.6846963,-70.943213,T7
Pomaire,-33.6694249,-71.1507469,T8
Puangue,-33.6474761,-71.3601781,T10
Puangue,-33.647546,-71.3602912,T10
Peaje Troncal Las Arañas,-34.0781162,-71.3708903,
Peaje Lateral Santa Fe,-37.4799412,-72.4627225,
Pórtico,-36.8043464,-73.127941,
Pórtico,-36.8041248,-73.1277334,
P11 Pedro Fontova - Ruta 5 Norte,-33.3657718,-70.6951146,P11
Pórtico,-32.7141322,-71.4398663,
Pórtico,-32.7144061,-71.4398228,
Pórtico,-32.7141983,-71.4400153,
Pórtico,-32.7143671,-71.4396339,
